pH_before,TDS_before,Turbidity_before,Temperature_before,Pressure_before,pH_after,TDS_after,Turbidity_after,Temperature_after,Efficiency,TDS_Reduction,Turbidity_Reduction,pH_Change,Water_Status,Membrane_Status
7.78,3291,44.01,23.5,2.73,6.81,563,3.62,24.3,82.89,2728,40.39,-0.97,Poor,Needs Cleaning
7.82,2707,33.32,20.2,2.72,7.41,354,3.05,19.7,86.92,2353,30.27,-0.41,Poor,Healthy
7.57,2341,12.09,17,4.56,6.62,1436,3.07,17,38.66,905,9.02,-0.95,Poor,Replace
7.52,599,49.29,27.4,3.17,7.32,128,6.85,27.3,78.63,471,42.44,-0.2,Poor,Needs Cleaning
6.51,3809,47.75,26.5,4.92,6.75,2394,7.05,26.8,37.15,1415,40.7,0.24,Poor,Replace
6.73,3590,19.93,39.4,4.47,6.81,2310,1.81,40.4,35.65,1280,18.12,0.08,Poor,Replace
7.7,1511,4.76,30.8,3.92,7.15,148,0.7,31.6,90.21,1363,4.06,-0.55,Excellent,Healthy
6.68,986,15.4,27.1,1.98,6.81,497,3.99,27.2,49.59,489,11.41,0.13,Poor,Replace
6.65,1877,25.76,38.7,5.58,7.42,253,1.99,39.4,86.52,1624,23.77,0.77,Acceptable,Healthy
7.23,4820,29.83,17.7,1.37,6.58,394,7.63,17.3,91.83,4426,22.2,-0.65,Poor,Healthy
7.47,1398,22.28,26.8,1.2,6.79,138,3.03,26.4,90.13,1260,19.25,-0.68,Poor,Healthy
7.16,624,6.18,31.1,4.22,6.51,62,1.54,30.2,90.06,562,4.64,-0.65,Acceptable,Healthy
8.04,1969,42.45,18.5,1.02,7.01,166,12.27,18.3,91.57,1803,30.18,-1.03,Poor,Healthy
8.3,4077,41.57,22.1,1.91,6.73,1376,8.24,21.8,66.25,2701,33.33,-1.57,Poor,Needs Cleaning
7.72,4563,49.98,30.9,5.58,7.43,1007,7.33,30.4,77.93,3556,42.65,-0.29,Poor,Needs Cleaning
7.49,4712,21.27,34.9,4.3,7.39,672,1.13,35.4,85.74,4040,20.14,-0.1,Acceptable,Healthy
8.19,4417,12.59,23,1.71,6.83,2778,2.91,22.6,37.11,1639,9.68,-1.36,Poor,Replace
8.04,2299,1.76,34.4,1.38,6.97,765,0.36,33.9,66.72,1534,1.4,-1.07,Acceptable,Needs Cleaning
7.84,2617,39.78,24.9,1.66,7.47,1331,2.9,25,49.14,1286,36.88,-0.37,Poor,Replace
6.9,4835,43.57,16.2,1.89,7.28,311,7.37,16.1,93.57,4524,36.2,0.38,Poor,Healthy
8.36,900,23.83,29.5,1.85,7.37,322,3.69,29.7,64.22,578,20.14,-0.99,Poor,Needs Cleaning
8.2,1949,12.92,23.9,2.98,6.93,281,0.75,24,85.58,1668,12.17,-1.27,Excellent,Healthy
7.19,1078,36.42,37.7,5.35,7.43,631,6.96,36.9,41.47,447,29.46,0.24,Poor,Replace
6.58,4556,17.1,19.6,3.59,6.73,891,2.24,18.6,80.44,3665,14.86,0.15,Acceptable,Needs Cleaning
6.99,643,30.34,37.4,1.84,6.77,134,7.57,37.3,79.16,509,22.77,-0.22,Poor,Needs Cleaning
7.66,2882,36.93,26.1,3.02,7.25,204,10.92,26.4,92.92,2678,26.01,-0.41,Poor,Healthy
8.59,1158,31.32,26.1,5.06,7.09,441,6.2,26.4,61.92,717,25.12,-1.5,Poor,Needs Cleaning
6.57,2724,45.33,36,3.58,6.74,321,6.1,35.2,88.22,2403,39.23,0.17,Poor,Healthy
8.67,3318,17.94,22.3,2.84,6.87,2226,1.55,21.4,32.91,1092,16.39,-1.8,Poor,Replace
6.95,4849,45.14,20.3,5.4,7.11,1738,11.06,20.5,64.16,3111,34.08,0.16,Poor,Needs Cleaning
7.01,3260,41.23,22.4,5.34,6.72,1526,3.59,23.2,53.19,1734,37.64,-0.29,Poor,Replace
8.34,1330,10.04,17.4,3.91,7.08,71,2.45,16.6,94.66,1259,7.59,-1.26,Acceptable,Healthy
6.84,1622,43.18,21.2,3.49,7.22,184,11.63,21.4,88.66,1438,31.55,0.38,Poor,Healthy
8.71,3968,10.55,24.5,2.28,7.3,1542,2.68,23.7,61.14,2426,7.87,-1.41,Poor,Needs Cleaning
7.12,1676,12.41,39,1.78,6.73,642,2.74,38.1,61.69,1034,9.67,-0.39,Acceptable,Needs Cleaning
7.21,2973,46.68,17.5,3.06,6.78,1270,5.75,17.3,57.28,1703,40.93,-0.43,Poor,Replace
6.72,884,49.92,22.2,1.47,6.73,103,11,21.7,88.35,781,38.92,0.01,Poor,Healthy
7.55,2371,39.85,27.2,4.99,7.43,236,7.36,27.8,90.05,2135,32.49,-0.12,Poor,Healthy
8.14,1802,25.19,36,2.13,6.68,215,1.89,35.5,88.07,1587,23.3,-1.46,Acceptable,Healthy
6.56,3322,40.7,21.7,2.8,7.33,905,4.08,22.4,72.76,2417,36.62,0.77,Poor,Needs Cleaning
6.91,612,46.92,25,3.99,7.08,142,6.23,25.7,76.8,470,40.69,0.17,Poor,Needs Cleaning
6.94,1993,31.71,23.3,1.82,7.06,545,8.28,22.5,72.65,1448,23.43,0.12,Poor,Needs Cleaning
6.83,4293,40.88,27.7,1.63,7.2,2771,7.11,26.7,35.45,1522,33.77,0.37,Poor,Replace
7.77,4377,2.38,20,1.32,7.16,600,0.58,19.2,86.29,3777,1.8,-0.61,Acceptable,Healthy
6.92,3563,13.38,37,1.54,7.29,633,3.14,37,82.23,2930,10.24,0.37,Poor,Needs Cleaning
8.63,1752,48.54,38.8,3.87,7.08,272,4.47,39.5,84.47,1480,44.07,-1.55,Poor,Needs Cleaning
6.62,2686,17.18,28.4,4.6,6.85,1767,0.97,28.2,34.21,919,16.21,0.23,Poor,Replace
7.21,2012,33.65,16.5,4.3,7.28,102,4.14,15.6,94.93,1910,29.51,0.07,Poor,Healthy
7.29,3942,7.92,20.8,1.78,7.36,247,1.4,19.9,93.73,3695,6.52,0.07,Acceptable,Healthy
6.82,673,31.8,28.8,5.38,6.76,41,8.51,28.9,93.91,632,23.29,-0.06,Poor,Healthy
7.43,3845,39.24,39.6,1.51,6.78,339,10.51,40,91.18,3506,28.73,-0.65,Poor,Healthy
6.67,3295,9.32,17,5.88,6.79,372,1.44,17.5,88.71,2923,7.88,0.12,Acceptable,Healthy
6.91,3315,23.82,38.6,1.15,6.86,202,6.26,38.7,93.91,3113,17.56,-0.05,Poor,Healthy
8.22,1166,11.04,22.9,3.25,6.54,363,3.15,23.3,68.87,803,7.89,-1.68,Poor,Needs Cleaning
8.17,3712,5.06,26.2,4.47,7.38,225,1.12,25.5,93.94,3487,3.94,-0.79,Acceptable,Healthy
7.42,2502,3.42,32,5.97,6.69,289,0.45,32.8,88.45,2213,2.97,-0.73,Excellent,Healthy
8.12,1977,32.11,38.7,3.73,6.78,131,9.6,39.3,93.37,1846,22.51,-1.34,Poor,Healthy
6.74,4844,31.24,20.5,4.64,6.69,1558,1.75,19.7,67.84,3286,29.49,-0.05,Poor,Needs Cleaning
7.95,2101,16.76,33,5.21,7.18,1219,4.62,33.6,41.98,882,12.14,-0.77,Poor,Replace
6.7,1178,29.68,24.1,4.26,7.01,86,2.08,25,92.7,1092,27.6,0.31,Acceptable,Healthy
6.98,3725,16.25,38.2,2.74,7.15,628,2.19,37.4,83.14,3097,14.06,0.17,Acceptable,Needs Cleaning
7.87,3144,47.86,27.6,3.03,7.4,372,12.1,28.2,88.17,2772,35.76,-0.47,Poor,Healthy
6.95,3495,29.84,17.7,1.1,6.86,1860,4.78,17.9,46.78,1635,25.06,-0.09,Poor,Replace
6.69,1483,27.01,30.2,4.2,7.17,500,4.66,29.3,66.28,983,22.35,0.48,Poor,Needs Cleaning
7.27,4480,17.83,33.2,3.36,6.63,554,2.73,32.5,87.63,3926,15.1,-0.64,Acceptable,Healthy
7.38,2100,28.53,32.7,4.02,6.63,284,8.15,33.6,86.48,1816,20.38,-0.75,Poor,Healthy
7.48,3115,31.12,29.5,4.13,7.07,2116,5.04,30.2,32.07,999,26.08,-0.41,Poor,Replace
8.22,3387,38.31,24.5,1.57,6.96,429,10.28,24.6,87.33,2958,28.03,-1.26,Poor,Healthy
8.69,793,45.86,21.9,1.07,6.94,58,9.66,22.7,92.69,735,36.2,-1.75,Poor,Healthy
6.57,3587,29.3,38.8,3.04,6.6,1401,6.7,39.7,60.94,2186,22.6,0.03,Poor,Needs Cleaning
7.35,4738,29.79,26.9,4.51,6.62,1843,6.62,27.4,61.1,2895,23.17,-0.73,Poor,Needs Cleaning
7.67,2008,38.26,22.1,1.45,6.96,620,2.29,22.9,69.12,1388,35.97,-0.71,Acceptable,Needs Cleaning
8.05,946,2.04,23.2,3.18,6.72,176,0.32,23.6,81.4,770,1.72,-1.33,Excellent,Needs Cleaning
7.69,3696,38.11,15.6,2.53,6.88,2464,4.13,15,33.33,1232,33.98,-0.81,Poor,Replace
8.59,4089,16.52,20.3,1.59,6.97,283,2.42,20.8,93.08,3806,14.1,-1.62,Acceptable,Healthy
8.22,3692,3.01,19.2,5.47,7.2,571,0.41,18.8,84.53,3121,2.6,-1.02,Acceptable,Needs Cleaning
8.12,4156,18.39,17.3,4.25,6.68,1319,5.03,16.6,68.26,2837,13.36,-1.44,Poor,Needs Cleaning
6.66,1849,24.39,21.7,2.79,6.53,920,2.34,21.5,50.24,929,22.05,-0.13,Acceptable,Replace
6.68,1883,9.82,22.7,2.35,7.17,1217,1.83,23.5,35.37,666,7.99,0.49,Poor,Replace
7.72,1777,10.21,20,5.2,7.44,901,1.41,20.4,49.3,876,8.8,-0.28,Acceptable,Replace
8.6,2974,41.18,32.7,5.3,6.97,423,9.51,33.3,85.78,2551,31.67,-1.63,Poor,Healthy
7.97,4806,41.1,23.5,1.19,7.45,1357,11.86,23.9,71.76,3449,29.24,-0.52,Poor,Needs Cleaning
7.37,2723,10.5,28.1,1.32,7.05,290,0.91,27.5,89.35,2433,9.59,-0.32,Excellent,Healthy
6.89,2135,13.28,23.3,5.29,6.54,622,2.66,24.2,70.87,1513,10.62,-0.35,Acceptable,Needs Cleaning
7.19,4041,47.94,21.4,1.99,7.05,270,11.69,21.8,93.32,3771,36.25,-0.14,Poor,Healthy
6.81,1833,28.35,16.5,4.24,7.28,978,4.51,15.6,46.64,855,23.84,0.47,Poor,Replace
6.74,2060,27.92,15.6,2.3,7.06,1276,4.08,16.4,38.06,784,23.84,0.32,Poor,Replace
8.7,3117,11.23,17.6,3.1,6.85,714,2.08,18,77.09,2403,9.15,-1.85,Acceptable,Needs Cleaning
7.59,1135,39.81,19.5,4.92,6.74,160,7.83,19.2,85.9,975,31.98,-0.85,Poor,Healthy
7.74,1448,47.72,25.3,4.39,7.34,736,10.77,24.3,49.17,712,36.95,-0.4,Poor,Replace
6.8,2011,5.64,22.9,4.04,6.97,171,1.44,22.4,91.5,1840,4.2,0.17,Acceptable,Healthy
8.49,763,48.25,38.2,1.26,6.85,496,7.71,37.2,34.99,267,40.54,-1.64,Poor,Replace
8.31,3052,48.69,17.7,3.92,6.51,867,2.96,17,71.59,2185,45.73,-1.8,Acceptable,Needs Cleaning
6.65,2969,10.8,16.4,1.77,6.66,164,2.89,16.5,94.48,2805,7.91,0.01,Acceptable,Healthy
8.58,2536,43.86,25.8,2.93,7.4,890,11.46,26,64.91,1646,32.4,-1.18,Poor,Needs Cleaning
6.56,3167,24.52,32.5,1.96,6.96,2148,4.48,31.7,32.18,1019,20.04,0.4,Poor,Replace
8.61,965,10.34,31,2.54,7.31,289,1.79,32,70.05,676,8.55,-1.3,Acceptable,Needs Cleaning
8.6,1850,35.68,31.3,1.06,7.09,233,5.42,30.5,87.41,1617,30.26,-1.51,Poor,Healthy
7.1,1075,3.53,20.4,3.03,6.97,583,0.96,21,45.77,492,2.57,-0.13,Acceptable,Replace
7.42,2466,22.79,22,4.66,6.97,287,5.32,22.6,88.36,2179,17.47,-0.45,Poor,Healthy
7.11,4585,39.94,21.1,5.59,6.54,1853,3.31,21.3,59.59,2732,36.63,-0.57,Poor,Replace
7.03,4637,13.68,35.1,1.01,7.02,301,1.21,35.9,93.51,4336,12.47,-0.01,Acceptable,Healthy
8.39,821,18.89,21.1,5.65,6.77,250,4.55,21.4,69.55,571,14.34,-1.62,Poor,Needs Cleaning
7.42,4160,17.89,18.8,1.57,7.05,548,4.8,17.8,86.83,3612,13.09,-0.37,Poor,Healthy
8.72,3212,5.32,17.1,5.79,6.71,235,0.9,17.8,92.68,2977,4.42,-2.01,Excellent,Healthy
8.59,4804,3.58,18.8,5.65,7.1,1453,0.91,18.6,69.75,3351,2.67,-1.49,Poor,Needs Cleaning
7.6,3894,44.8,19.8,5.79,6.81,474,10.96,19.1,87.83,3420,33.84,-0.79,Poor,Healthy
6.67,3799,21.56,16.1,3.19,6.7,1327,4.84,15.3,65.07,2472,16.72,0.03,Poor,Needs Cleaning
7.47,2478,20.52,37.6,2.5,7.2,331,5.97,38.2,86.64,2147,14.55,-0.27,Poor,Healthy
8.29,2258,37.98,29.9,1.23,6.99,130,8.8,29.9,94.24,2128,29.18,-1.3,Poor,Healthy
7.81,4615,9.81,39.7,3.25,6.79,1856,2.85,39.2,59.78,2759,6.96,-1.02,Poor,Replace
8.5,2306,46.81,25.3,5.47,6.78,250,2.52,25,89.16,2056,44.29,-1.72,Acceptable,Healthy
7.65,3884,31.98,36.8,5.17,6.71,382,7.48,36.1,90.16,3502,24.5,-0.94,Poor,Healthy
7.93,3740,18.13,24.5,3,7.43,365,1.86,24.1,90.24,3375,16.27,-0.5,Acceptable,Healthy
8.7,1354,5.77,18.4,3.45,7.13,923,1.4,18.8,31.83,431,4.37,-1.57,Acceptable,Replace
7.53,4896,34.93,33.8,3.9,7.32,566,6.37,34.4,88.44,4330,28.56,-0.21,Poor,Healthy
8.32,4287,34.2,26.9,1.62,7.46,584,1.93,26.1,86.38,3703,32.27,-0.86,Acceptable,Healthy
7.99,4109,7.45,33.5,5.22,7.28,1674,1.5,32.6,59.26,2435,5.95,-0.71,Poor,Replace
8.07,2581,14.95,23.4,1.09,6.95,370,1.78,23.1,85.66,2211,13.17,-1.12,Acceptable,Healthy
6.8,907,43.14,38.2,1.37,6.51,431,3.84,38.4,52.48,476,39.3,-0.29,Poor,Replace
6.72,4635,32.12,33.6,4.71,7.31,1999,5.96,33.1,56.87,2636,26.16,0.59,Poor,Replace
7.8,1030,18.2,37.4,4.07,7.26,58,2.82,36.8,94.37,972,15.38,-0.54,Acceptable,Healthy
8,976,2.93,26.6,4.05,6.63,119,0.54,26.2,87.81,857,2.39,-1.37,Excellent,Healthy
7.63,1525,25.1,23.5,2.78,7.08,260,2.27,23.3,82.95,1265,22.83,-0.55,Acceptable,Needs Cleaning
7.14,698,26.26,34.3,5.62,7.38,439,3.76,33.5,37.11,259,22.5,0.24,Poor,Replace
8.26,1425,10.32,24.1,5.86,6.88,293,0.56,23.9,79.44,1132,9.76,-1.38,Excellent,Needs Cleaning
7.45,4749,8.89,29.2,1.06,7.26,3291,2.07,29.3,30.7,1458,6.82,-0.19,Poor,Replace
7.35,659,8.18,15.6,4.62,7.35,236,1.22,15.2,64.19,423,6.96,0,Acceptable,Needs Cleaning
6.63,4309,28.88,18.3,4.44,6.99,1691,6.9,19,60.76,2618,21.98,0.36,Poor,Needs Cleaning
6.79,2695,38.85,31.8,4.9,7.33,269,4.55,31.5,90.02,2426,34.3,0.54,Poor,Healthy
6.93,3110,2.58,20.9,5.48,7.19,369,0.21,20.2,88.14,2741,2.37,0.26,Excellent,Healthy
7.48,1257,49.74,20.2,5.89,6.52,823,9.16,20.7,34.53,434,40.58,-0.96,Poor,Replace
7.16,4000,18.36,25.1,5.72,6.5,438,3.02,25.3,89.05,3562,15.34,-0.66,Poor,Healthy
7.46,2235,45.22,21.1,3.7,7.2,606,8.69,21.7,72.89,1629,36.53,-0.26,Poor,Needs Cleaning
6.65,2932,43.77,20.1,1.01,7.14,1048,10.93,20.1,64.26,1884,32.84,0.49,Poor,Needs Cleaning
6.99,4176,26.41,17.2,2.58,7.06,2301,7.57,16.8,44.9,1875,18.84,0.07,Poor,Replace
7.68,4595,26.69,29.7,5.95,6.98,1398,2.11,29.2,69.58,3197,24.58,-0.7,Poor,Needs Cleaning
8.4,2291,49.88,31.9,2.56,7.23,279,8.58,32.8,87.82,2012,41.3,-1.17,Poor,Healthy
8.1,4189,26.48,35.9,2.88,7.15,560,2.82,35.6,86.63,3629,23.66,-0.95,Acceptable,Healthy
7.15,3040,46.64,34.2,3.99,7.34,314,11.5,33.3,89.67,2726,35.14,0.19,Poor,Healthy
8.36,2877,28.91,29.5,4.37,6.76,631,7.89,29.1,78.07,2246,21.02,-1.6,Poor,Needs Cleaning
7.53,2035,43.11,24.6,3.52,6.78,221,12,23.9,89.14,1814,31.11,-0.75,Poor,Healthy
7.53,4174,36.58,39.4,5.27,6.82,394,9.93,39.9,90.56,3780,26.65,-0.71,Poor,Healthy
7.69,2289,9.55,35.5,4.08,6.6,218,0.5,36.1,90.48,2071,9.05,-1.09,Excellent,Healthy
7.09,3397,36.67,30.7,3.11,7.47,2056,9.58,31.3,39.48,1341,27.09,0.38,Poor,Replace
8.68,3405,18.4,33.1,3.22,7.29,209,2.7,32.3,93.86,3196,15.7,-1.39,Acceptable,Healthy
7.98,2032,29.4,29.4,2.14,6.82,158,4.96,28.4,92.22,1874,24.44,-1.16,Poor,Healthy
7.85,2815,38.24,26.8,2.15,6.8,603,4.81,27.7,78.58,2212,33.43,-1.05,Poor,Needs Cleaning
6.64,1934,14.36,33.2,2.74,6.96,842,3.41,34,56.46,1092,10.95,0.32,Poor,Replace
8.27,3536,2.44,25.2,3.18,7.4,1157,0.66,25.9,67.28,2379,1.78,-0.87,Poor,Needs Cleaning
7.47,2429,49.51,26.1,3.61,7.29,1373,6.06,26.6,43.47,1056,43.45,-0.18,Poor,Replace
6.57,4045,17.79,18.2,1.1,6.85,316,2.48,18.3,92.19,3729,15.31,0.28,Acceptable,Healthy
7.88,2621,30.23,36.4,2.83,6.55,713,1.6,36.6,72.8,1908,28.63,-1.33,Acceptable,Needs Cleaning
7.43,679,18.11,17.5,2.98,6.7,241,4.34,18.4,64.51,438,13.77,-0.73,Poor,Needs Cleaning
7.74,715,5.49,18.4,5.74,6.57,363,0.58,17.5,49.23,352,4.91,-1.17,Excellent,Replace
6.86,2064,23.71,28.7,4.78,6.92,747,7.05,28.6,63.81,1317,16.66,0.06,Poor,Needs Cleaning
6.94,835,34.39,20.2,1.89,6.8,278,9.43,19.3,66.71,557,24.96,-0.14,Poor,Needs Cleaning
7.88,2567,13.41,19,2.06,6.54,652,2.53,18.2,74.6,1915,10.88,-1.34,Acceptable,Needs Cleaning
7.37,2454,45.77,30.3,3.48,7.23,865,7.13,31.3,64.75,1589,38.64,-0.14,Poor,Needs Cleaning
7.99,1250,5.37,27.2,1.61,6.75,817,0.54,26.7,34.64,433,4.83,-1.24,Acceptable,Replace
7.15,2464,36.92,32.3,3.46,6.7,237,10.13,32.6,90.38,2227,26.79,-0.45,Poor,Healthy
7.97,4590,46.63,35.7,4.02,7.29,967,9.67,36.5,78.93,3623,36.96,-0.68,Poor,Needs Cleaning
8.29,3522,25.95,31.7,3.59,7.22,406,3.25,30.8,88.47,3116,22.7,-1.07,Poor,Healthy
7.01,2691,29.37,34.6,4.03,6.79,1633,7.44,34.2,39.32,1058,21.93,-0.22,Poor,Replace
8.47,3760,23.51,19.6,4.79,6.72,1325,2.82,19.1,64.76,2435,20.69,-1.75,Poor,Needs Cleaning
7,3213,31.79,33.3,2.77,7.07,1173,8.08,32.6,63.49,2040,23.71,0.07,Poor,Needs Cleaning
6.68,1079,22.86,32.7,4.51,7.17,644,6.51,33.5,40.32,435,16.35,0.49,Poor,Replace
7.94,3576,39.93,35.3,4.43,7.47,829,6.46,34.5,76.82,2747,33.47,-0.47,Poor,Needs Cleaning
7.39,3420,13.55,36.6,4.03,7.28,1822,2.36,36.1,46.73,1598,11.19,-0.11,Poor,Replace
7.11,4164,12.09,19.7,2.58,6.57,943,1.04,19.3,77.35,3221,11.05,-0.54,Acceptable,Needs Cleaning
8.59,2580,46.55,32.2,1.85,6.74,263,9.49,32,89.81,2317,37.06,-1.85,Poor,Healthy
7.64,2939,48.57,21.3,3.76,7.18,559,13.73,22,80.98,2380,34.84,-0.46,Poor,Needs Cleaning
8.3,952,38.13,37.4,1.81,7.16,387,9.88,36.7,59.35,565,28.25,-1.14,Poor,Replace
7.66,1507,5.7,28.5,4.04,6.63,879,0.3,29.4,41.67,628,5.4,-1.03,Acceptable,Replace
6.95,2790,21.47,36.3,5.31,7.18,1177,4.11,36.2,57.81,1613,17.36,0.23,Poor,Replace
8.52,2428,27.35,20.9,3.79,7.29,904,3.55,21.6,62.77,1524,23.8,-1.23,Poor,Needs Cleaning
6.53,2309,21.81,23.2,4.96,7.37,210,4.02,23,90.91,2099,17.79,0.84,Poor,Healthy
6.76,2836,40.65,34.9,4.14,7.22,1754,4.69,34.6,38.15,1082,35.96,0.46,Poor,Replace
8.53,4124,39.78,19.8,4.46,7.01,490,8.93,20.1,88.12,3634,30.85,-1.52,Poor,Healthy
8.32,2234,23.21,21.5,2.86,6.74,122,5.14,20.5,94.54,2112,18.07,-1.58,Poor,Healthy
8.65,2158,5.98,38.3,1.21,7.35,122,0.57,38,94.35,2036,5.41,-1.3,Excellent,Healthy
8.68,1968,11.37,35.3,2.85,6.74,1224,2.87,35.8,37.8,744,8.5,-1.94,Poor,Replace
7.29,4167,19.11,24.8,1.58,6.99,555,1.41,24.4,86.68,3612,17.7,-0.3,Acceptable,Healthy
6.9,617,22.31,29.6,1.63,7.03,174,6.36,29.9,71.8,443,15.95,0.13,Poor,Needs Cleaning
8.77,607,46.88,33.3,5.06,6.79,264,4.95,34.2,56.51,343,41.93,-1.98,Poor,Replace
7.64,1335,12.54,16.2,1.61,6.84,511,3.72,17.2,61.72,824,8.82,-0.8,Poor,Needs Cleaning
7.06,3123,6.16,34.8,4.49,7.41,712,0.65,34.8,77.2,2411,5.51,0.35,Acceptable,Needs Cleaning
6.67,1794,46.52,30.3,5.25,6.84,788,11.07,30.3,56.08,1006,35.45,0.17,Poor,Replace
7.64,3891,4.38,28.9,2.24,7.29,752,1.11,28.4,80.67,3139,3.27,-0.35,Acceptable,Needs Cleaning
8.74,2907,29.91,35.1,1.62,7.36,422,4.11,35.8,85.48,2485,25.8,-1.38,Poor,Healthy
7.44,1012,15.56,16.6,1.5,7.37,241,4.01,16.2,76.19,771,11.55,-0.07,Poor,Needs Cleaning
7.05,3883,47.94,21.3,5.89,7.13,2577,8.03,20.7,33.63,1306,39.91,0.08,Poor,Replace
7.18,4131,17.11,26.4,2.85,7.17,286,4.88,26.5,93.08,3845,12.23,-0.01,Poor,Healthy
7.32,1862,16.63,34.8,3.98,7.44,775,2.39,35.8,58.38,1087,14.24,0.12,Acceptable,Replace
7.49,3614,47.64,17.8,1.87,7.19,217,4.46,18.4,94,3397,43.18,-0.3,Poor,Healthy
7.23,892,2.54,37.9,5.67,7.38,45,0.22,37.9,94.96,847,2.32,0.15,Excellent,Healthy
7.03,2772,28.22,19.5,3.42,7.46,664,5.27,19,76.05,2108,22.95,0.43,Poor,Needs Cleaning
8.16,1130,18.95,16.3,2.45,7.07,189,4.89,15.9,83.27,941,14.06,-1.09,Poor,Needs Cleaning
6.81,3903,45.24,32,3.12,6.82,1273,7.01,32.7,67.38,2630,38.23,0.01,Poor,Needs Cleaning
8.67,2685,8.99,21.4,1.31,7.27,1284,1.01,21.7,52.18,1401,7.98,-1.4,Poor,Replace
7.03,2822,25.79,27.3,4.19,6.69,851,7.16,27,69.84,1971,18.63,-0.34,Poor,Needs Cleaning
7.23,2802,28.44,21.3,5.82,6.86,200,5.81,21.7,92.86,2602,22.63,-0.37,Poor,Healthy
8.52,1259,3.57,18.6,1.74,7.09,96,0.3,19.1,92.37,1163,3.27,-1.43,Excellent,Healthy
7.94,4102,46.02,24.5,5.48,6.61,1876,11.6,24.2,54.27,2226,34.42,-1.33,Poor,Replace
8.4,3063,13.08,23.2,5.36,7.41,322,3.03,23.9,89.49,2741,10.05,-0.99,Poor,Healthy
6.51,2456,26.03,21.6,2.16,7.13,403,1.94,22.3,83.59,2053,24.09,0.62,Acceptable,Needs Cleaning
